epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,96.999,0.86672,0.97233,0.95679,0.96707,0.66662,0.96067,0.68033,0.91179,1.67391,0.94414,0.000826939,0.000826939,0.000826939
43,98.8141,0.82555,0.92834,0.96796,0.96707,0.66662,0.96067,0.68033,0.91179,1.67391,0.94414,0.000841606,0.000841606,0.000841606
44,100.928,0.84994,1.10379,0.99799,0.95315,0.76298,0.96667,0.73144,0.83402,1.51872,0.91867,0.000856026,0.000856026,0.000856026
45,102.744,0.79919,0.89638,0.98004,0.95315,0.76298,0.96667,0.73144,0.83402,1.51872,0.91867,0.000870198,0.000870198,0.000870198
46,105.343,0.77976,0.8509,0.95773,0.95938,0.77798,0.96985,0.7406,0.81381,1.52018,0.90548,0.000884122,0.000884122,0.000884122
47,107.359,0.75996,0.82196,0.94297,0.95938,0.77798,0.96985,0.7406,0.81381,1.52018,0.90548,0.000897799,0.000897799,0.000897799
48,109.73,0.80702,0.87894,0.96487,0.92481,0.80535,0.96537,0.75917,0.78514,1.46656,0.89219,0.000911228,0.000911228,0.000911228
49,111.366,0.76635,0.80768,0.963,0.92481,0.80535,0.96537,0.75917,0.78514,1.46656,0.89219,0.00092441,0.00092441,0.00092441
50,113.405,0.75815,0.81489,0.98696,0.92787,0.81654,0.96296,0.75602,0.81096,1.31991,0.90899,0.000937344,0.000937344,0.000937344
51,115.261,0.79846,0.85801,0.99871,0.92787,0.81654,0.96296,0.75602,0.81096,1.31991,0.90899,0.000940625,0.000940625,0.000940625
52,117.448,0.7627,0.8044,0.94094,0.94169,0.9215,0.97801,0.76446,0.78868,1.20132,0.8993,0.000934438,0.000934438,0.000934438
53,120.046,0.80033,0.81894,0.95316,0.94169,0.9215,0.97801,0.76446,0.78868,1.20132,0.8993,0.00092825,0.00092825,0.00092825
54,121.949,0.78878,0.8954,0.96745,0.92285,0.93606,0.9796,0.78049,0.74566,1.17843,0.88228,0.000922063,0.000922063,0.000922063
55,123.754,0.744,0.76594,0.93559,0.92285,0.93606,0.9796,0.78049,0.74566,1.17843,0.88228,0.000915875,0.000915875,0.000915875
56,125.574,0.79384,0.84967,0.94335,0.81933,0.92281,0.91913,0.71173,0.80833,1.28935,0.89866,0.000909688,0.000909688,0.000909688
57,127.456,0.74585,0.80882,0.9509,0.81933,0.92281,0.91913,0.71173,0.80833,1.28935,0.89866,0.0009035,0.0009035,0.0009035
58,129.5,0.80261,0.78604,0.9413,0.79682,0.91309,0.88036,0.6879,0.81212,1.30032,0.90619,0.000897313,0.000897313,0.000897313
59,131.822,0.71515,0.7702,0.95143,0.79682,0.91309,0.88036,0.6879,0.81212,1.30032,0.90619,0.000891125,0.000891125,0.000891125
60,133.793,0.77465,0.78551,0.94731,0.81513,0.91239,0.93636,0.73799,0.76655,1.19546,0.89394,0.000884938,0.000884938,0.000884938
61,136.779,0.74361,0.74022,0.92665,0.81513,0.91239,0.93636,0.73799,0.76655,1.19546,0.89394,0.00087875,0.00087875,0.00087875
62,138.645,0.76699,0.79147,0.95106,0.86702,0.90726,0.96621,0.73743,0.7883,1.10835,0.89511,0.000872563,0.000872563,0.000872563
63,140.327,0.74375,0.74779,0.91386,0.86702,0.90726,0.96621,0.73743,0.7883,1.10835,0.89511,0.000866375,0.000866375,0.000866375
64,142.396,0.71001,0.81116,0.94112,0.90496,0.95107,0.97873,0.75662,0.77295,1.03918,0.8809,0.000860188,0.000860188,0.000860188
65,145.587,0.72955,0.72924,0.92658,0.90496,0.95107,0.97873,0.75662,0.77295,1.03918,0.8809,0.000854,0.000854,0.000854
66,147.358,0.68998,0.71539,0.91347,0.90398,0.95707,0.97524,0.76471,0.77535,1.01039,0.89573,0.000847813,0.000847813,0.000847813
67,149.1,0.70143,0.76033,0.93147,0.90398,0.95707,0.97524,0.76471,0.77535,1.01039,0.89573,0.000841625,0.000841625,0.000841625
68,151.259,0.7423,0.74947,0.9291,0.91006,0.97174,0.98352,0.79373,0.73147,0.92567,0.87832,0.000835438,0.000835438,0.000835438
69,153.075,0.70885,0.76185,0.9358,0.91006,0.97174,0.98352,0.79373,0.73147,0.92567,0.87832,0.00082925,0.00082925,0.00082925
70,155.185,0.7274,0.74449,0.92774,0.93645,0.98663,0.98727,0.80459,0.70698,0.85984,0.87688,0.000823063,0.000823063,0.000823063
71,157.394,0.75731,0.78658,0.97092,0.93645,0.98663,0.98727,0.80459,0.70698,0.85984,0.87688,0.000816875,0.000816875,0.000816875
72,159.557,0.66807,0.71251,0.92725,0.95158,0.97441,0.98831,0.79051,0.73241,0.82308,0.88274,0.000810688,0.000810688,0.000810688
73,161.365,0.7483,0.72417,0.90396,0.95158,0.97441,0.98831,0.79051,0.73241,0.82308,0.88274,0.0008045,0.0008045,0.0008045
74,163.295,0.73764,0.76883,0.96225,0.97888,0.96341,0.98838,0.79619,0.74546,0.74983,0.87912,0.000798313,0.000798313,0.000798313
75,165.13,0.68897,0.6899,0.90887,0.97888,0.96341,0.98838,0.79619,0.74546,0.74983,0.87912,0.000792125,0.000792125,0.000792125
76,167.604,0.70743,0.76844,0.95138,0.97063,0.99146,0.99006,0.80378,0.70857,0.69391,0.86685,0.000785938,0.000785938,0.000785938
77,169.904,0.69568,0.69828,0.92324,0.97063,0.99146,0.99006,0.80378,0.70857,0.69391,0.86685,0.00077975,0.00077975,0.00077975
78,172.294,0.69733,0.74036,0.91401,0.97302,0.96817,0.98775,0.81762,0.67834,0.65029,0.86742,0.000773563,0.000773563,0.000773563
79,174.165,0.60797,0.7196,0.90468,0.97302,0.96817,0.98775,0.81762,0.67834,0.65029,0.86742,0.000767375,0.000767375,0.000767375
80,175.994,0.72064,0.70716,0.93503,0.98164,0.97289,0.98774,0.81976,0.67618,0.64541,0.87126,0.000761188,0.000761188,0.000761188
81,177.91,0.62391,0.64662,0.9108,0.98164,0.97289,0.98774,0.81976,0.67618,0.64541,0.87126,0.000755,0.000755,0.000755
82,179.83,0.63827,0.66987,0.91178,0.95316,0.98808,0.98607,0.80901,0.69264,0.65687,0.88309,0.000748813,0.000748813,0.000748813
83,181.703,0.66202,0.69482,0.90287,0.95316,0.98808,0.98607,0.80901,0.69264,0.65687,0.88309,0.000742625,0.000742625,0.000742625
84,184.539,0.71444,0.70694,0.90688,0.95157,0.98357,0.98378,0.77191,0.74269,0.66292,0.89969,0.000736438,0.000736438,0.000736438
85,186.638,0.66415,0.67117,0.91126,0.95157,0.98357,0.98378,0.77191,0.74269,0.66292,0.89969,0.00073025,0.00073025,0.00073025
86,188.449,0.67525,0.66652,0.90933,0.94436,0.98333,0.98229,0.77842,0.73987,0.64227,0.88298,0.000724062,0.000724062,0.000724062
87,190.355,0.72087,0.69667,0.88364,0.94436,0.98333,0.98229,0.77842,0.73987,0.64227,0.88298,0.000717875,0.000717875,0.000717875
88,192.241,0.66225,0.68691,0.92638,0.95095,0.98333,0.98485,0.80039,0.70681,0.59505,0.87465,0.000711687,0.000711687,0.000711687
89,194.12,0.64623,0.62821,0.89461,0.95095,0.98333,0.98485,0.80039,0.70681,0.59505,0.87465,0.0007055,0.0007055,0.0007055
90,196.607,0.64372,0.66232,0.88553,0.96888,0.97035,0.9857,0.79981,0.68656,0.57424,0.87748,0.000699312,0.000699312,0.000699312
91,198.738,0.65391,0.68406,0.91233,0.96888,0.97035,0.9857,0.79981,0.68656,0.57424,0.87748,0.000693125,0.000693125,0.000693125
92,200.565,0.68451,0.64316,0.90355,0.9722,0.98715,0.98857,0.80728,0.70039,0.58193,0.87998,0.000686937,0.000686937,0.000686937
93,202.232,0.67745,0.63474,0.89011,0.9722,0.98715,0.98857,0.80728,0.70039,0.58193,0.87998,0.00068075,0.00068075,0.00068075
94,204.112,0.68429,0.65903,0.91872,0.97204,0.99267,0.9878,0.77853,0.75407,0.60225,0.89805,0.000674562,0.000674562,0.000674562
95,205.923,0.68089,0.78329,0.95643,0.97204,0.99267,0.9878,0.77853,0.75407,0.60225,0.89805,0.000668375,0.000668375,0.000668375
96,208.036,0.66756,0.67969,0.93513,0.97089,0.99119,0.98807,0.79664,0.71315,0.60102,0.8852,0.000662188,0.000662188,0.000662188
97,210.587,0.63972,0.61267,0.89098,0.97089,0.99119,0.98807,0.79664,0.71315,0.60102,0.8852,0.000656,0.000656,0.000656
98,212.748,0.65244,0.6664,0.91618,0.97815,0.98663,0.98752,0.81753,0.66792,0.58974,0.87614,0.000649813,0.000649813,0.000649813
